ID,TYPE,PATH,ORIGINAL_PATH
0,Cat,../../catdogs/Cat_0.png,../../Cat/0.jpg
1,Cat,../../catdogs/Cat_1.png,../../Cat/1.jpg
2,Cat,../../catdogs/Cat_2.png,../../Cat/2.jpg
3,Cat,../../catdogs/Cat_3.png,../../Cat/3.jpg
4,Cat,../../catdogs/Cat_4.png,../../Cat/4.jpg
5,Cat,../../catdogs/Cat_5.png,../../Cat/5.jpg
6,Cat,../../catdogs/Cat_6.png,../../Cat/6.jpg
7,Cat,../../catdogs/Cat_7.png,../../Cat/7.jpg
8,Cat,../../catdogs/Cat_8.png,../../Cat/8.jpg
9,Cat,../../catdogs/Cat_9.png,../../Cat/9.jpg
10,Cat,../../catdogs/Cat_10.png,../../Cat/10.jpg
11,Cat,../../catdogs/Cat_11.png,../../Cat/11.jpg
12,Cat,../../catdogs/Cat_12.png,../../Cat/12.jpg
13,Cat,../../catdogs/Cat_13.png,../../Cat/13.jpg
14,Cat,../../catdogs/Cat_14.png,../../Cat/14.jpg
15,Cat,../../catdogs/Cat_15.png,../../Cat/15.jpg
16,Cat,../../catdogs/Cat_16.png,../../Cat/16.jpg
17,Cat,../../catdogs/Cat_17.png,../../Cat/17.jpg
18,Cat,../../catdogs/Cat_18.png,../../Cat/18.jpg
19,Cat,../../catdogs/Cat_19.png,../../Cat/19.jpg
20,Cat,../../catdogs/Cat_20.png,../../Cat/20.jpg
21,Cat,../../catdogs/Cat_21.png,../../Cat/21.jpg
22,Cat,../../catdogs/Cat_22.png,../../Cat/22.jpg
23,Cat,../../catdogs/Cat_23.png,../../Cat/23.jpg
24,Cat,../../catdogs/Cat_24.png,../../Cat/24.jpg
25,Cat,../../catdogs/Cat_25.png,../../Cat/25.jpg
26,Cat,../../catdogs/Cat_26.png,../../Cat/26.jpg
27,Cat,../../catdogs/Cat_27.png,../../Cat/27.jpg
28,Cat,../../catdogs/Cat_28.png,../../Cat/28.jpg
29,Cat,../../catdogs/Cat_29.png,../../Cat/29.jpg
30,Cat,../../catdogs/Cat_30.png,../../Cat/30.jpg
31,Cat,../../catdogs/Cat_31.png,../../Cat/31.jpg
32,Cat,../../catdogs/Cat_32.png,../../Cat/32.jpg
33,Cat,../../catdogs/Cat_33.png,../../Cat/33.jpg
34,Cat,../../catdogs/Cat_34.png,../../Cat/34.jpg
35,Cat,../../catdogs/Cat_35.png,../../Cat/35.jpg
36,Cat,../../catdogs/Cat_36.png,../../Cat/36.jpg
37,Cat,../../catdogs/Cat_37.png,../../Cat/37.jpg
38,Cat,../../catdogs/Cat_38.png,../../Cat/38.jpg
39,Cat,../../catdogs/Cat_39.png,../../Cat/39.jpg
40,Cat,../../catdogs/Cat_40.png,../../Cat/40.jpg
41,Cat,../../catdogs/Cat_41.png,../../Cat/41.jpg
42,Cat,../../catdogs/Cat_42.png,../../Cat/42.jpg
43,Cat,../../catdogs/Cat_43.png,../../Cat/43.jpg
44,Cat,../../catdogs/Cat_44.png,../../Cat/44.jpg
45,Cat,../../catdogs/Cat_45.png,../../Cat/45.jpg
46,Cat,../../catdogs/Cat_46.png,../../Cat/46.jpg
